azure_active_connections_average;azure_active_connections_count;azure_active_connections_maximum;azure_active_connections_minimum;azure_active_connections_total,Gauge,Count,Active Connections,
azure_apps_reserved_memory_percent_average;azure_apps_reserved_memory_percent_count;azure_apps_reserved_memory_percent_maximum;azure_apps_reserved_memory_percent_minimum;azure_apps_reserved_memory_percent_total,Gauge,Percent,Percentage of Commit Memory Limit Reserved by Applications,
azure_cpu_credits_consumed_average;azure_cpu_credits_consumed_count;azure_cpu_credits_consumed_maximum;azure_cpu_credits_consumed_minimum;azure_cpu_credits_consumed_total,Gauge,Count,Total number of credits consumed by the node. Only available when burstable compute is provisioned on the node.,
azure_cpu_credits_remaining_average;azure_cpu_credits_remaining_count;azure_cpu_credits_remaining_maximum;azure_cpu_credits_remaining_minimum;azure_cpu_credits_remaining_total,Gauge,Count,Total number of credits available to burst. Only available when burstable compute is provisioned on the node.,
azure_cpu_percent_average;azure_cpu_percent_count;azure_cpu_percent_maximum;azure_cpu_percent_minimum;azure_cpu_percent_total,Gauge,Percent,CPU percent,
azure_iops_average;azure_iops_count;azure_iops_maximum;azure_iops_minimum;azure_iops_total,Gauge,Count,IO operations per second,
azure_memory_percent_average;azure_memory_percent_count;azure_memory_percent_maximum;azure_memory_percent_minimum;azure_memory_percent_total,Gauge,Percent,Memory percent,
azure_network_bytes_egress_average;azure_network_bytes_egress_count;azure_network_bytes_egress_maximum;azure_network_bytes_egress_minimum;azure_network_bytes_egress_total,Gauge,Bytes,Network Out across active connections,
azure_network_bytes_ingress_average;azure_network_bytes_ingress_count;azure_network_bytes_ingress_maximum;azure_network_bytes_ingress_minimum;azure_network_bytes_ingress_total,Gauge,Bytes,Network In across active connections,
azure_replication_lag_average;azure_replication_lag_count;azure_replication_lag_maximum;azure_replication_lag_minimum;azure_replication_lag_total,Gauge,MilliSeconds,Allows to see how much read replica nodes are behind their counterparts in the primary cluster,
azure_storage_percent_average;azure_storage_percent_count;azure_storage_percent_maximum;azure_storage_percent_minimum;azure_storage_percent_total,Gauge,Percent,Storage percent,
azure_storage_used_average;azure_storage_used_count;azure_storage_used_maximum;azure_storage_used_minimum;azure_storage_used_total,Gauge,Bytes,Storage used,
azure_vm_cached_bandwidth_percent_average;azure_vm_cached_bandwidth_percent_count;azure_vm_cached_bandwidth_percent_maximum;azure_vm_cached_bandwidth_percent_minimum;azure_vm_cached_bandwidth_percent_total,Gauge,Percent,Percentage of cached disk bandwidth consumed by the VM,
azure_vm_cached_iops_percent_average;azure_vm_cached_iops_percent_count;azure_vm_cached_iops_percent_maximum;azure_vm_cached_iops_percent_minimum;azure_vm_cached_iops_percent_total,Gauge,Percent,Percentage of cached disk IOPS consumed by the VM,
azure_vm_uncached_bandwidth_percent_average;azure_vm_uncached_bandwidth_percent_count;azure_vm_uncached_bandwidth_percent_maximum;azure_vm_uncached_bandwidth_percent_minimum;azure_vm_uncached_bandwidth_percent_total,Gauge,Percent,Percentage of uncached disk bandwidth consumed by the VM,
azure_vm_uncached_iops_percent_average;azure_vm_uncached_iops_percent_count;azure_vm_uncached_iops_percent_maximum;azure_vm_uncached_iops_percent_minimum;azure_vm_uncached_iops_percent_total,Gauge,Percent,Percentage of uncached disk IOPS consumed by the VM,
